池田樹雷人	Ikeda Tree Raito
傑森 魯賓	Jason Rubin
正中	middle
卡爾 門格爾	Karl Menger
愛伯佛勒 斯特靈	Abel Fowler Stirling
聯合航空	United Airlines
枫叶体育娱乐有限公司	Maple Leaf Sports & Entertainment Ltd.
保迪摩爾	Pauldy Moore
山本哲也	Tetsuya Yamamoto
英祖戰爭	Ancestor War
慶州金氏	Gyeongju Kim
利安 列迪	Liane Riedy
約瑟芬 夏洛特公主 比利時	josephine princess charlotte belgium
浈江区	Zhenjiang District
基努 里维斯	Keanu Reeves
星煥國際	Xinghuan International
美国内阁	US Cabinet
純愨皇貴妃	pure imperial concubine
傑尼斯事務所	Johnny's Office
彼得 保羅 魯本斯	Peter Paul Rubens
吉尔马 沃尔德 乔治斯	Gilmar Wald Georges
缽呂吉雄	Boru Yoshio
湯健萍	Tang Jianping
藤原秀樹	Hideki Fujiwara
载瓦人	Zaiwa people
苏巴	Suba
巴卡里 科內	Baccary Kone
義大利 歲以下足球代表隊	Italy under-year football team
天主教民主党	Catholic Democrats
同和會	Tonghehui
锐步	Reebok
本笃十四世	Benedict XIV
jørgen castenskiold	jørgen castenskiold
切尔滕汉姆足球俱乐部	Cheltenham Football Club
聰太郎	Sataro
俄羅斯國家足球隊	russian national football team
美國海軍軍令部	U.S. Naval Command
異教	paganism
none 科扎克	none Kozak
塞尔维特足球俱乐部	servette football club
伊顿公学	Eton College
終極動員令 最後的倖存者	final mobilization order last survivor
祖拉布 诺盖德利	Zurab Nogadli
中国航天科工集团	China Aerospace Science and Industry Corporation
尹日录	Yin Rilu
神秘符號	occult symbol
中国人民解放军总政治部歌舞团	Chinese People's Liberation Army General Political Department Song and Dance Troupe
石家庄永昌足球俱乐部	Shijiazhuang Yongchang Football Club
凱倫 卡本特	Karen Carpenter
拉布 巴特勒	Rab Butler
橋爪勇樹	Hashizuru Yuki
武內崇	Takeuchi Takashi
中都	Zhongdu
烏克蘭最高拉達	Verkhovna Rada of Ukraine
李斯特城足球俱樂部	Liszt City Football Club
伊莱休 罗德	Elihu Rhodes
瓦倫 達瓦	Varun Dawa
孝明世子	Prince Xiaoming
利珀王朝	Lippe Dynasty
香港民主民生協進會	Hong Kong Association for the Advancement of Democracy and People's Livelihood
光州	Gwangju
巴伐利亞州	Bavaria
吴官正	Wu Guanzheng
陳建仁	Chen Jianren
織田信秀 信長之子	Oda Nobuhide, the son of Nobunaga
香港司法機構	Hong Kong Judiciary
布列塔尼语	Breton
坦噶尼喀總統	President of Tanganyika
印度尼西亞行政區劃	Administrative divisions of Indonesia
南茜 弗雷泽	Nancy Fraser
金田一少年之事件簿 電視劇	The Incident Book of the Kindaichi Boys TV Series
帕维尔 切尔诺夫	Pavel Chernov
葡萄牙人	Portuguese
分筋挫骨手	broken bones
最美是家	The most beautiful is home
南部利剛	Southern Ligon
武藏野市	Musashino City
弗赖堡足球俱乐部	Freiburg FC
红河哈尼族彝族自治州	Honghe Hani and Yi Autonomous Prefecture
夫利佛蘭省女王專員列表	List of Queen's Commissioners of the Province of Vliveland
国家政治保卫局	National Political Defense Agency
馬來民族統一機構	United Malays National Organization
佩德羅 恩里克 巴西	Pedro Enrique Brazil
埃及足球協會	egyptian football association
孔有德	Kong Youde
切特 卡尔弗	Chet Culver
阿拉木圖中央體育場	Almaty Central Stadium
仙台市交通局	Sendai City Transportation Bureau
彼得罗波利斯大教堂	Petropolis Cathedral
尹常在	Yin Changzai
酉阳土家族苗族自治县	Youyang Tujia and Miao Autonomous County
宮心計	Realm of Conscience
愛宮	Love Palace
市法團	municipal corporation
国防工业	defense industry
蒙格埃尔	Munger
新迷幻音樂	new psychedelic music
蘋果咬一口	apple bite
金敏爀	Kim Min Hoon
乔丹 阿尤	Jordan Ayew
埃爾圖魯爾加齊	erturul gazi
周敏圭	Zhou Mingui
夏威夷領地	Hawaiian Territory
中国共产党江西省委员会	Jiangxi Provincial Committee of the Communist Party of China
春祿戰役	Battle of Chunlu
吉尔吉斯共和国国家银行	National Bank of the Kyrgyz Republic
加尔文主义	Calvinism
豐臣氏	Toyotomi
魔法门系列	Might and Magic series
王正伟	Wang Zhengwei
光明影院	Bright Cinema
廖內省	Riau Province
處英	Chu Ying
.sb	.sb
舍伯恩修道院	Sherborne Abbey
陳潔如	Chen Jieru
約翰 伯努利	John Bernoulli
克路文	Craven
老街市	old street market
沈立強	Shen Liqiang
.je	.je
河野太郎	Kono Taro
成奉宰	Sung Bong Jae
阿卜杜勒 阿齊茲 阿卜杜拉赫曼 費薩爾 阿勒沙特	Abdul Aziz Abd Rahman Faisal Al Saud
急庇利	Quickie
星塵傳播	Stardust spread
托马斯 品钦	Thomas Pynchon
南開中學	Nankai Middle School
土呂站	Toro Station
松河	Song River
阿萨德湖	Lake Assad
室町时代	Muromachi period
米哈伊爾 薩卡什維利	Mikhail Saakashvili
南非总理	Prime Minister of South Africa
rené paul savary	rené paul savary
济南府	Jinan Prefecture
菲靡靡之音	The sound of the extravagant
新奥尔巴尼 印第安纳州	New Albany Indiana
費雷西底	Felicity
員辨市	Yuanben City
追擊者 the chaser	the chaser
古弗薩克文	Old Feysak
居伊 德梅爾	Guy Demer
荒木哲郎	Araki Tetsuro
盛世仁傑	Sheng Shi Renjie
陳百祥	Chen Baixiang
演化生物学	evolutionary biology
鳩山一郎	Hatoyama Ichiro
贾卡亚 基奎特	Jakaya Kikwit
何塞 玛丽亚 阿斯纳尔	Jose Maria Aznar
德國聯邦特別任務部	German Federal Ministry for Special Tasks
吉姆 默菲	Jim Murphy
末日三重奏	doom trio
那加兰邦	Nagaland
emmanuel gómez	emmanuel gomez
中国足球甲级a组联赛	Chinese Football League A Group A
劍橋大學岡維爾與凱斯學院	Gonville and Caius College, Cambridge University
岡崎市	Okazaki City
真下耕一	Genuine Koichi
栃木縣	Tochigi Prefecture
none 阿斯奎斯	none Asquith
起範	start
乌鲁木齐市	Urumqi
苏丹莫哈末五世	Sultan Mohd V
大紫蛺蝶	Big Purple Nymph
卡爾 弗里德里希 高斯	Karl Friedrich Gauss
花蓮市	Hualien City
奥尔良王朝	Orleans Dynasty
玫瑰	Rose
試播 迷失	pilot lost
拉里奥哈 西班牙	la rioja spain
苏格兰的亨利	Henry of Scotland
淑儀朴氏	Sook Yee Park
巴倫西亞共同體	Valencian Community
杉山浩太	Sugiyama Kota
哥達	gotha
克洛德 盖昂	Claude Guyon
塞斯克 法比加斯	Cesc Fabigas
一袋女王	a bag of queens
史蒂夫 阿德勒	Steve Adler
公爵	Duke
bec特罗萨萨纳足球俱乐部	bec trosasana football club
王多年	Wang Duoyuan
上海轨道交通 号线	Shanghai Rail Transit Line
比爾 克林顿	Bill Clinton
華納兄弟唱片公司	Warner Bros. Records
吉俊民	Ji Junmin
呼玛河	Huma River
第二次贡比涅停战协定	Second Armistice at Compiègne
约翰 梅杰	John Major
鲁比 拉冯	Ruby Laffoon
緬甸國家元首	head of state of myanmar
丹尼 葉夫曼	Danny Effman
布迪亞夫	Boudiaf
中国人民银行	People's Bank of China
英国财政部	UK Treasury
約翰 吉本斯	John Gibbons
立法院	Legislature
伊魁特	Iqaluit
圣米伦足球俱乐部	St Mirren Football Club
伊利沙伯 薩諾夫	Elizabeth Sarnoff
阿曼	Oman
長生 清朝	Longevity Qing Dynasty
保力達	Polytec
普拉滕斯竞技俱乐部	Plattens Athletic Club
珊瑚海群岛	Coral Sea Islands
约翰 杜威	John Dewey
埃斯科里亚尔	escorial
第二届全国人民代表大会	The Second National People's Congress
馬場賢治	Kenji Baba
阿克斯胡斯城堡	Akershus Castle
弦理論	String Theory
阿明	Armin
.sn	.sn
郵政局 澳門	Post Office Macau
上海市戏曲学校	Shanghai Opera School
加茂市	Kamo City
艾迪納爾多 戈麥斯 佩雷拉	Edinardo Gomez Pereira
阿姆斯特丹市長	mayor of amsterdam
普魯東	Proudhon
貝尼格諾 阿基諾	Benigno Aquino
蔣孝勇	Jiang Xiaoyong
戴迪	Daddy
以色列總統列表	List of Presidents of Israel
西蒙 詹科夫	Simon Jankov
自然之友	friends of nature
安东尼奥 萨兰德拉	Antonio Sarandra
陈云林	Chen Yunlin
森博幸	Mori Hiroshi
西纳尼丁 法基 优素福帕夏	Sinanedin Faki Yusuf Pasha
敦刻尔克	Dunkirk
彼得 奴易茲 作家	Peter Nuiz writer
江苏省扬州中学	Yangzhou Middle School in Jiangsu Province
堪萨斯市皇家	Kansas City Royals
哈巴罗夫斯克边疆区区旗	Regional flag of Khabarovsk Krai
瑞士挑戰聯賽	Swiss Challenge League
共和主义	republicanism
普雷夫桑 莫昂	Prevsan Moang
diego cháves	diego cháves
德川唯姬	Tokugawa Yuki
葉永成	Ye Yongcheng
安東尼 特洛勒普	Anthony Trolup
運輸省	Ministry of Transport
天津京铁火车头足球俱乐部	Tianjin Jingtie Locomotive Football Club
正仁親王妃華子	Prince Zhengren's Concubine Hua Zi
吉布提中央银行	Central Bank of Djibouti
莫加里	Mogari
嚴德發	Yan Defa
加拿大英语	Canadian English
蘇貞昌	Su Zhenchang
卢森尼亚语	Ruthenian
阿拉伯	Arab
category 法国王后	category Queen of France
商天娥	Shang Tian'e
特拉布宗體育	Trabzonspor Sports
丰县	Feng County
习和平	Xi Heping
飛虎	flying tiger
.ht	.ht
瑶族	Yao nationality
陳江鴻	Chen Jianghong
泊松方程	Poisson equation
民主就是自由 雏菊	Democracy is freedom daisy
朝鲜劳动党中央委员会第一书记	First Secretary of the Central Committee of the Workers' Party of Korea
國家馬克	National Mark
崇祯	Chongzhen
田中义一	Tanaka Yoshiichi
南非标准时间	South African Standard Time
jack sherman 吉他手	jack sherman guitarist
李原圭	Lee Won Gyu
融合爵士樂	Fusion Jazz
英格蘭及不列顛王位繼承人列表	List of heirs to the throne of England and Britain
西鄉隆盛	Xixiang Longsheng
線上學習	online learning
北德意志邦聯	North German Confederation
滾石 雜誌	Rolling Stone Magazine
哥威迅语	Cowichan
拉贾 纳因戈兰	Raja Nainggolan
阿尔本 巴克利	Albon Barkley
乔什 盖德	Josh Gad
尼古拉 特鲁别茨柯伊	Nikolai Trubetskoy
台視hd台	tv hd station
奧胡斯	Aarhus
基多 威斯特威勒	Quito Westville
宝藏王	Treasure King
外交部长 爱尔兰	foreign minister ireland
市長 議會制	mayor council
多田薰	Kaoru Tada
新斯科舍	Nova Scotia
纽韦尔老男孩竞技俱乐部	Newell's Old Boys Athletic Club
低地苏格兰语	Lowland Scots
腓特烈皇后	Queen Frederick
葡萄牙社會黨	Portuguese Socialist Party
伍錦霖	Wu Jinlin
馬保定	Ma Baoding
拉克瓦納縣	Lackawana County
張永豪	Zhang Yonghao
慈幼會	Salesian
特奥多尔 亨施	Theodor Hensch
史托菲爾 範多尼	Stoffel Fandogne
亞拉奧祖	Yara Ozu
久宮靜子內親王	Prince Kumiya Shizuko
无锡站	Wuxi Station
山本太郎	Yamamoto Taro
危險的女人	dangerous woman
戰地風雲	Battlefield
完颜阿骨打	Wanyan A Gu Da
约翰 曼斯菲尔德	John Mansfield
独立人士	independent
本特 韦斯特贝里	Bent Westberg
中田武雄	Takeo Nakata
于卡 内瓦莱尼	Yucane Valeni
苏联共产党中央政治局	Political Bureau of the Communist Party of the Soviet Union
恩里克一世 葡萄牙	Enrique I of Portugal
日劇學院賞	Japanese Drama Academy Award
拉瑪三世	Rama III
考斯沃斯	Cosworth
希山慕丁 胡先	Hishammuddin Hu Xian
交響情人夢 日本電視劇	Symphonic Lover's Dream Japanese TV Drama
夏錦文	Xia Jinwen
维多利亚 尤金妮亚公主 巴腾堡	princess victoria eugenia battenberg
理查 翁斯洛 第一代翁斯洛男爵	Richard Onslow, 1st Baron Onslow
羅永賢	Luo Yongxian
安德雷斯 奧佩爾	Andres Opel
同盟國軍事占領日本	Allied military occupation of Japan
死亡旋律金属	death melody metal
李juno	lee juno
伊朗海军	iranian navy
海老名市	Ebina City
超验主义	Transcendentalism
南方摇滚	southern rock
杉浦正健	Sugiura Masaken
穆里夫 泰米兹丁	Murrif Tamizdin
可轉移單票制	transferable single ticket
阿曼諾拉汗	amanora khan
杨家将	Yang Jiajiang
公共汽車	bus
津巴布韋儲備銀行	Reserve Bank of Zimbabwe
科隆ii	cologne ii
蘭卡斯特公爵領地總裁	President of the Duchy of Lancaster
维什瓦纳特 普拉塔普 辛格	Vishwanath Pratap Singh
社会与民主进步联盟	coalition for social and democratic progress
朝鲜族	Korean
威廉 霍尔 梅西	William Hall Massey
维沙卡帕特南	Visakhapatnam
丹麥u	Denmark u
海倫斯堡	Helensburgh
頓涅茨克冶金	Donetsk Metallurgy
北瀨佳範	Kitase Yoshiba
石原克哉	Ishihara Katsuya
苏黎世草蜢足球俱乐部	zurich grasshopper football club
鷹司和子	Takaji Kazuko
中後衛	central defender
盧提西行動	Operation Lutisi
潮汕话	Chaoshan dialect
荷兰皇家海军学院	Royal Netherlands Naval Academy
托马斯 库切尔	Thomas Kuchel
人生多美麗	how beautiful life is
鸸鹋	Emu
臺北市政府	Taipei City Government
长春市	Changchun City
黑埃爾斯特河	heelster
蒙古汗国君主列表	List of Mongolian Khanate Monarchs
銀杏樹	Ginkgo Tree
洛卡比里	Lokabiri
丹麦语	Danish
大田市民足球俱乐部	Daejeon Citizens Football Club
惠灵 西弗吉尼亚州	Wheeling West Virginia
渠成 足球运动员	Qu Cheng football player
領隊 足球	team leader
基督教民主黨 瑞典	Christian Democrats Sweden
台灣公共廣播電視集團	Taiwan Public Broadcasting and Television Corporation
甌江片	Oujiang slice
手白香皇女	Hand White Fragrance Queen
奥地利哈布斯堡王朝	Austrian Habsburg dynasty
美國艦隊總司令	Commander-in-Chief of the U.S. Fleet
意大利共和党	italian republican
昭和	Showa
三島 勇太	Mishima Yuta
花水木	Huashuimu
前衛搖滾	progressive rock
宋申	Song Shen
none 強納斯	none Jonas
阿德里 范埃斯	Adri Van Es
德鲁 吉尔平 福斯特	Drew Gilpin Foster
卡拉奇	Karachi
列蒂西雅 克里斯汀 泰勒	Leticia Kristen Taylor
ls郵區	ls zip
天守	Tenshu
鈴木厚人	Suzuki Atsuji
拉惹勒南	Rajaratnam
山本贵嗣	Yamamoto Takaji
中国移动多媒体广播	China Mobile Multimedia Broadcasting
告示牌 雜誌	billboard magazine
多德雷赫特	dordrecht
努梅里安	Numerian
侯賽因 法特米	Hussain Fatemi
允禨	Yun Yuan
郴州市	Chenzhou
阿什哈巴德httu	Ashgabat httu
皇家工程院	Royal Academy of Engineering
马尔科 阿瑙托维奇	Marko Arnautovic
習志野市	Narashino City
英叻 钦那瓦	Yingluck Shinawatra
鎌倉時代	Kamakura period
施俊輝	Shi Junhui
林清芳	Lin Qingfang
基利傑阿爾斯蘭四世	Kilij Arslan IV
霍尔迪 加利	Jordi Galli
越南共和国	Republic of Vietnam
马塞兰 贝特洛	Marcelan Berthelot
rafael ratão	rafael ratao
米沙鄢群島	Visayas
董翔龍	Dong Xianglong
laugardalsvöllur	laugardalsvöllur
電腦科學家	computer scientist
本科教育	Undergraduate Education
机枪	machine gun
織田長利	Oda Nagarashi
蔣經國	Chiang Ching-kuo
米澤市	Yonezawa
中央聯邦管區	Central Federal District
约翰 佩里 罗宾逊	John Perry Robinson
海狸大球场	Beaver Stadium
蘭域市	Lanyu
电脑科学家	computer scientist
艾莉西亚 凯斯	Alicia Keys
羅伊 布倫特	Roy Brent
敬懿皇贵妃	Emperor Jingyi's concubine
圣书体	biblical script
大學學院中學	University College Secondary School
协和语	Concord
小约翰 阿姆斯特朗	John Armstrong Jr.
菲德爾 拉莫斯	Fidel Ramos
鳳雄里	Fengxiongli
黎巴嫩內戰	Lebanese Civil War
valérie pécresse	valérie pécresse
關市	Seki
米南佳保語	Minangkabau
濤女郎	Tao girl
埃塞俄比亚	Ethiopia
塔里娅 哈洛宁	Taria Halonen
胡志明	Ho Chi Minh
高中生	high school student
後迪斯可	post disco
吉迪恩 格兰杰	Gideon Granger
美國南大西洋地區	US South Atlantic
山楂球场	Hawthorn Stadium
中世纪	middle Ages
亞當斯縣 俄亥俄州	Adams County Ohio
蜆貝	Clams
许其倩	Xu Qiqian
逻辑主义	logicism
雪佛兰科尔维特	Chevrolet Corvette
科克市長	Mayor of Cork
施克恩	Schkern
乔丹 布朗	Jordan Brown
保罗 卡迪斯	Paul Cadiz
川島町	Kawashima-cho
艾爾弗雷德王子 大不列顛	Prince Alfred Great Britain
汪小敏	Wang Xiaomin
米哈伊尔 米亚斯尼科维奇	Mikhail Myasnikovic
天启	Apocalypse
鳥類學家	ornithologist
瑞士国庆日	Swiss National Day
公共專業聯盟	public professional union
忠州长江大桥	Chungju Yangtze River Bridge
阿巴斯 奇亞羅斯塔米	Abbas Chiarostami
煙火 歌曲	fireworks song
英国下议院	UK House of Commons
阿拉伯复兴社会党 伊拉克地区	Ba'ath Party Iraq Region
蔡可立	Cai Keli
松戶市	Matsudo City
亨利 蒙克 梅遜 摩爾	Henry Munch Mason Moore
施祖祥	Shi Zuxiang
奈斯米爾尼球場	Nesmirny Stadium
欧洲文化之都	European Capital of Culture
安东 德莱克斯勒	Anton Drexler
平野宏治	Hirano Koji
长沙金德	Changsha Kinder
巴倫西亞語	Valencian
大连台安老哥们足球俱乐部	Dalian Tai'an Brothers Football Club
帕斯托竞技	Pasto Athletics
jair benítez	jair benítez
摩尔多瓦	Moldova
小室直義	Komuro Naoyoshi
英國郵政編號	UK postal code
福爾摩斯歸來記	The Return of Sherlock Holmes
小次郎	Kojiro
數碼多功能影音光碟	Digital Versatile DVD
北京站	Beijing Station
史泰登岛	Staten Island
沖繩縣	Okinawa Prefecture
王城區	Wangcheng District
卡梅尔海	sea ​​of ​​carmel
李兆銓	Li Zhaoquan
東員町	Tomomachi
none 霍伦达	none holenda
淀山湖	Dianshan Lake
南部超級聯賽	Southern Premier League
費奧倫	Feoren
圣伯多禄圣保禄堂 克拉科夫	St. Peter and St. Paul's Church, Krakow
角頭 電影	corner movie
艾資哈爾大學	al-Azhar University
阿德尔 萨法尔	Adel Safar
金剛戰士 zeo	king kong warrior zeo
维克托 魏斯科普夫	Victor Weiskopf
米高 特威迪	Michael Tweedy
俄亥俄州第 步兵团	Ohio Infantry Regiment
寧常在	Ning Chang
墨筆竹石圖	Ink pen bamboo and stone map
阿歷山大 施利加	Alexander Schliger
哈薩諾夫	Hasanov
董事	director
阿比德 拉扎克 纳伊夫	Abid Razak Naif
格拉斯哥港	port of glasgow
池田秀一	Ikeda Shuichi
黑暗正義聯盟	Justice League Dark
不害	harmless
都柏林地區	Dublin area
共和立憲制	constitutional republic
開普殖民地首相	Cape Colony Prime Minister
小早川秀秋	Kobayakawa Hideaki
實成院	Shichengyuan
壽臧和碩公主	Princess Shou Zang and Shuo
两轮选举制	two-round election
小金井市	Koganei
蘇格蘭皇家銀行	Royal Bank of Scotland
荷蘭丙級足球聯賽	Dutch Football League
塞巴斯蒂安王子 卢森堡	Prince Sebastian Luxembourg
加登縣	Garden County
斯洛伐克足球乙級聯賽	Slovakian football league
雷霆掃毒	Thunder Sweeping Drugs
皮埃尔 莫鲁瓦	Pierre Morois
御用大律師	Queen's Counsel
光子	photon
林欣彤	Lin Xintong
阿富汗獨立日	Afghanistan Independence Day
浦添市	Urasoe City
蓋伊 西格斯沃思	Guy Sigsworth
拉波夫拉德塞古爾	la pobla de segur
戈登 拉姆齊	Gordon Ramsay
臼井仁志	Usui Hitoshi
阿波罗登月舱	Apollo lunar module
水道橋站	Suiduoqiao Station
美樂特朗	Merlot
柏林赫塔ii隊	Hertha ii
葛林芝火山	Gryinge Volcano
郝心翔	Hao Xinxiang
激进党 法国	radical party france
鲍姆加登	Baumgarden
赫爾曼 迪特里希	Hermann Dietrich
日本扁柏	Japanese Hinoki
克莉絲汀 阿奎萊拉	Christine Aguilera
埃及總統列表	List of Presidents of Egypt
迦納君主	Monarch of Ghana
牲川步見	See you in the river
法律經濟學	Law and Economics
東平尾公園博多陸上競技場	Higashi Hirao Park Hakata Land Arena
后现代主义文学	postmodernist literature
弗里德里希 弗朗茨三世 梅克倫堡 什未林	Friedrich Franz III Mecklenburg Schwerin
拉特加利亚人	Latgalians
韦利亚镇	Velia
史蒂芬 弗莱	Stephen Fry
革命家	revolutionary
张志军	Zhang Zhijun
罗马尼亚东正教	Romanian Orthodox Church
永恆唱片	Eternal Records
京丹後市	Kyotango
青鱂	medaka
维多利亚公主 英国	princess victoria england
智利 岁以下国家足球队	Chile under-year national football team
安德烈亞 納勒斯	Andrea Nales
小嶋陽菜	Kojima Haruna
苗語支	Hmong branch
白川裕二郎	Shirakawa Yujiro
隋朝	Sui Dynasty
尚贝里	Chambery
山谷惠里子	Valley Eriko
堅鹽媛	Jian Yanyuan
安東貞美	Andong Jungmi
三木武夫	Takeo Miki
鹳形目	Stork
塞繆爾 赫伯特 威爾遜	Samuel Herbert Wilson
王傳仁	Wang Chuanren
中村杣	Nakamura
共和國議會 葡萄牙	Assembly of the Republic Portugal
斯巴達體育場 吉爾吉斯	Spartan Stadium Kyrgyzstan
隆庆	Longqing
容子棋	Rong Ziqi
agnibilékrou	agnibilékrou
运城市	Yuncheng
中希腊	Central Greece
活出堅強	live strong
高亞河	Gaoya River
中华民国文化部	Ministry of Culture of the Republic of China
生死孽戀	life and death
加拿大	Canada
大巽他群島	Greater Sunda Islands
貝蒂科山脈	betico mountains
加藤守啟	Kato Moraki
annika strandhäll	annika strandhäll
索塞斯克伯爵夫人莫德郡主	Lady Maud, Countess of Southesc
伯明翰足球會	Birmingham Football Club
赛缪尔 普芬多夫	Samuel Pufendorf
秋婷	Qiu Ting
芬兰 彼尔姆语支	Finnish Perm language
卡洛斯 山塔那	Carlos Santana
芦田均	Ashida
特提舍丽	Tetisseri
誠仁親王	Prince Seirin
合肥师范学院	Hefei Teachers College
大友龍三郎	Otomo Ryusaburo
上校	Colonel
邢台市	Xingtai city
英格蘭足球冠軍聯賽	English Football Champions League
譚玉齡	Tan Yuling
亨利 康沃尔公爵	Henry Duke of Cornwall
pio garcía escudero	pio garcía escudero
水青冈	Shuiqinggang
維合部隊	Peacekeepers
奧蘭治聖約瑟夫修女會	Sisters of St. Joseph of Orange
列葛拔桑治	Greg Batsange
利贝雷茨足球俱乐部	liberec football club
卡爾皮足球俱樂部	Carpi Football Club
生坂村	Izaka Village
羅鎮岳	Luo Zhenyue
吉亚尼 瓦蒂莫	Gianni Vattimo
无尽干渴 穹顶之下	Endless Thirst Under the Dome
芳澤謙吉	Yoshizawa Kenji
李嘉倩	Li Jiaqian
鐵道博物館站	Railway Museum Station
阿比库斯诺 佐克罗苏约索	Abikusno Zocrosuyoso
艾諾治	Ainoch
哈梅斯 罗德里格斯	James Rodriguez
新疆大学	Xinjiang University
