ロック (音楽)	rock (music)
第92回天皇杯全日本サッカー選手権大会	92nd Emperor's Cup All Japan Football Championship
フェンダー・ストラトキャスター	fender stratocaster
ゲオルク・ヴィルヘルム・フリードリヒ・ヘーゲル	Georg Wilhelm Friedrich Hegel
ペンシルベニア州	Pennsylvania
レイズアネイティヴ	raise a native
ボブ・ディラン	Bob Dylan
イリノイ州	Illinois
アメリカ合衆国下院	United States House of Representatives
ホイッグ党 (アメリカ)	Whig Party (USA)
アジアサッカー連盟	Asian Football Federation
ソビエト連邦共産党	Communist Party of the Soviet Union
ガレージロック	garage rock
スペイン語	Spanish
ハイペリオン (競走馬)	Hyperion (racehorse)
民主共和党 (アメリカ)	Democratic-Republican (USA)
バラク・オバマ	Barack Obama
ハウス (音楽)	house (music)
hyde	hyde
ロシア帝国	Russian Empire
グランジ	grunge
ディスコ (音楽)	disco (music)
民主党 (日本 1998-)	Democratic Party (Japan 1998-)
ブラジル	Brazil
カール・マルクス	Karl Marx
uefa欧州選手権	uefa european championship
ターントゥ	turn to
u-20サッカー日本代表	Japan u-20 soccer team
ポール・マッカートニー	Paul McCartney
ミスタープロスペクター	Mr Prospector
センチュリー・メディア・レコード	Century Media Records
第91回天皇杯全日本サッカー選手権大会	91st Emperor's Cup All Japan Football Championship
fc東京	fc tokyo
ジョージ・w・ブッシュ	George W. Bush
ロシア・ソビエト連邦社会主義共和国	Russian Soviet Union Socialist Republic
サッカー日本代表	Japan national soccer team
afcチャンピオンズリーグ2014	afc champions league 2014
ストックホルム	Stockholm
ゲルマン語派	Germanic
オアシス (バンド)	oasis (band)
ケンタッキー州	Kentucky
社会主義インターナショナル	socialist international
アラビア語	Arabic
キリル文字	Cyrillic
セントサイモン	Saint Simon
ジョージ5世 (イギリス王)	George V (King of England)
オハイオ州	Ohio
フリードリヒ・ニーチェ	Friedrich Nietzsche
ヘイルトゥリーズン	Hail Treeson
フェンダー・テレキャスター	fender telecaster
外務・英連邦大臣	Foreign and Commonwealth Minister
ジョン・レノン	John Lennon
内閣総理大臣	Prime Minister
ドイツ帝国	german empire
プリンスキロ	prince kilo
akb48	akb48
秋元康	Yasushi Akimoto
ジョージ3世 (イギリス王)	George III (King of England)
アメリカ合衆国財務長官	United States Treasury Secretary
テディ (競走馬)	Teddy (racehorse)
ポリネシアン (競走馬)	Polynesian (racehorse)
リージョン (イングランド)	Region (England)
労働党 (イギリス)	Labor Party (UK)
ドイツ語	German
アメリカ合衆国国務長官	United States Secretary of State
ロシア正教会	russian orthodox church
ビル・クリントン	Bill Clinton
バックパサー	back passer
ユリシーズ・グラント	Ulysses Grant
イタリック語派	italic
フェニキア文字	Phoenician letters
ポスト・グランジ	post grunge
コロンビア大学	Columbia University
k-pop	k-pop
ロスコスモス	Roscosmos
ベルリン	Berlin
インド・イラン語派	Indo-Iranian
メタルコア	metal core
バールーフ・デ・スピノザ	Baruch de Spinoza
dir en grey	dir en gray
安室奈美恵	Namie Amuro
スイス	Switzerland
ロマンス諸語	Romance languages
フィラデルフィア	Philadelphia
アメリカ合衆国副大統領	Vice President of the United States
ノエル・ギャラガー	Noel Gallagher
2012年のjリーグカップ	2012 j league cup
シカゴ大学	University of Chicago
気象庁	Japan Meteorological Agency
ジョージ・h・w・ブッシュ	George h.w. bush
フランスの首相	Prime Minister of France
ゲインズバラ (競走馬)	Gainsborough (racehorse)
サッカースペイン代表	soccer spain national team
ウィリアム・グラッドストン	William Gladstone
グレートブリテン及びアイルランド連合王国	United Kingdom of Great Britain and Ireland
ローリング・ストーンズ	the rolling stones
ナシュア (競走馬)	Nashua (racehorse)
サッカーフランス代表	soccer france national team
ロバート・ガスコイン＝セシル (第3代ソールズベリー侯)	Robert Gascoigne-Cecil (3rd Marquess of Salisbury)
ガロピン	Galopin
フィンランド	Finland
c言語	c language
フロリダ州	Florida
エリック・クラプトン	Eric Clapton
マームード	mahmood
アリストテレス	Aristotle
オックスフォード大学	oxford university
ラミン・ジャヴァディ	Ramin Djawadi
アメリカ合衆国司法長官	United States Attorney General
マイクロソフト	microsoft
playstation 3	playstation 3
欧州社会党	European Socialist Party
ノイズロック	noise rock
ジョン・メイナード・ケインズ	John Maynard Keynes
教皇領	Papal States
サンクトペテルブルク	St. Petersburg
クリエイション・レコーズ	creation records
小室哲哉	Tetsuya Komuro
ゲーム・オブ・スローンズ	game of thrones
アラム文字	Aramaic script
メキシコ	Mexico
内務大臣 (イギリス)	Home Secretary (United Kingdom)
テキサス州	texas
エピックレコードジャパン	epic record japan
マルティン・ハイデッガー	Martin Heidegger
マレー・ポリネシア語派	Malayo-Polynesian
安倍晋三	Shinzo Abe
西ゲルマン語群	West Germanic
ニュージャージー州	new jersey
イタリア王国	Kingdom of Italy
明仁	Akihito
サッカーアメリカ合衆国代表	United States soccer team
グレートブリテン王国	Great Britain Kingdom
アンドリュー・ジャクソン	Andrew Jackson
チュルク語族	Turkic languages
エドワード7世 (イギリス王)	Edward VII (King of England)
庶民院院内総務	House of Commons general affairs
シンガポール	Singapore
ダンジグ (競走馬)	Danzig (racehorse)
ベンドア	bendor
サッカースウェーデン代表	Sweden national football team
ブレニム (競走馬)	Blenheim (racehorse)
シューゲイザー	shoegazer
ニュー・オーダー	new order
ザクセン＝コーブルク＝ゴータ家	House of Saxe-Coburg-Gotha
サッカーオランダ代表	soccer dutch national team
日本プロサッカーリーグ	Japan Professional Soccer League
レッド・ツェッペリン	led zeppelin
オーストラリア	Australia
ロナルド・レーガン	Ronald Reagan
セーレン・キェルケゴール	Soren Kierkegaard
ジェームズ・モンロー	james monroe
トリップ・ホップ	trip hop
エモ	emo
flow	flow
c++	c++
ベルギー	Belgium
スウィンフォード	Swinford
オーストリア	Austria
x japan	x japan
フットボールリーグ・チャンピオンシップ	football league championship
デフスターレコーズ	defstar records
プレミアリーグ	Premier League
倉木麻衣	Mai Kuraki
欧州人民党	European People's Party
アルビレックス新潟	Albirex Niigata
柏レイソル	Kashiwa Reysol
サッカーイングランド代表	england soccer team
ブランドフォード (競走馬)	Blandford (racehorse)
西ドイツ	West Germany
サッカー大韓民国代表	South Korea national football team
チェルシーfc	chelsea fc
社会党 (フランス)	Socialist Party (France)
アメリカ合衆国上院仮議長	President pro tempore of the United States Senate
afcチャンピオンズリーグ	afc champions league
プリンスローズ	prince rose
神奈川県	Kanagawa Prefecture
ボストン	boston
ジョージ・ワシントン	George Washington
spv (企業)	spv (company)
横浜f・マリノス	Yokohama f・Marinos
ジャイヴ・レコード	jive record
アイルランド	Ireland
プラッキーリエージュ	Plucky Liege
プラトン	Plato
ジェームズ・マディソン	James Madison
ゴシックメタル	gothic metal
北海道コンサドーレ札幌	Hokkaido Consadole Sapporo
つんく♂	Tsunku♂
ジミー・ペイジ	Jimmy Page
ヘンリー・ジョン・テンプル (第3代パーマストン子爵)	Henry John Temple, 3rd Viscount Palmerston
ルネ・デカルト	Rene Descartes
ロイヤルチャージャー	royal charger
日清戦争	Sino-Japanese war
boa	boa
トムフール	Tom Fool
ジャン＝ジャック・ルソー	Jean-Jacques Rousseau
民主党 (イタリア)	Democratic Party (Italy)
バヤルド (競走馬)	Bayardo (racehorse)
ジャン＝ポール・サルトル	Jean-Paul Sartre
u2	u2
ミルリーフ	mill leaf
フンボルト大学ベルリン	Humboldt University Berlin
ドゥームメタル	doom metal
サッカーボスニア・ヘルツェゴビナ代表	Bosnia and Herzegovina national football team
グルーヴ・メタル	groove metal
ニジンスキー (競走馬)	Nijinsky (racehorse)
トーマス・ジェファーソン	Thomas Jefferson
afcチャンピオンズリーグ2013	afc champions league 2013
ジョン・タイラー	John Tyler
クインシー・ジョーンズ	Quincy Jones
ポストロック	post rock
os x	os x
ギリシャ	Greece
ケンブリッジ大学	Cambridge University
ヨーロッパ	Europe
モータウン	motown
u-23サッカー日本代表	Japan u-23 soccer team
asian kung-fu generation	asian kung-fu generation
j2リーグ	j2 league
ルートヴィヒ・ウィトゲンシュタイン	Ludwig Wittgenstein
ブルリー	Bully
xbox 360	xbox 360
ブライアン・メイ	Brian May
ヘンリー・クレイ	Henry Clay
dfbポカール2015-2016	dfb pokal 2015-2016
ブルドッグ (競走馬)	bulldog (racehorse)
オーストリア＝ハンガリー帝国	Austria-Hungary Empire
ヨーテボリ	Gothenburg
ウィリアムズf1	williams f1
ボールドルーラー	Bold ruler
スラヴ語派	Slavic
ジョージ・ハリスン	George Harrison
東方神起	Tohoshinki
fcバルセロナ	fc barcelona
アップル インコーポレイテッド	Apple Inc.
グラインドコア	grind core
川崎フロンターレ	Kawasaki Frontale
スペアミント (競走馬)	spearmint (racehorse)
ポリメラス	Polymerus
トルコ	Turkey
ジョージア州	Georgia
ポルトガル語	Portuguese
ヒストリー パスト、プレズント・アンド・フューチャー ブック1	History Past, Present and Future Book 1
イタリア語	Italian
イラン	Iran
ポルトガル	Portugal
ジョン・クィンシー・アダムズ	John Quincy Adams
サッカーナイジェリア代表	Nigeria national football team
ペルシア語	Persian
ブルー・アイド・ソウル	blue eyed soul
インドの総督	governor of india
asローマ	as rome
ミシガン州	Michigan
セリエa (サッカー)	serie a (soccer)
リチャード・ニクソン	Richard Nixon
リスボン	Lisbon
ジョン・ロック	John Locke
ブラーフミー文字	brahmi script
麻生太郎	Taro Aso
プリメーラ・ディビシオン	Primera Division
サーギャラハッド	Sir Galahad
サッカーイタリア代表	Italy soccer team
j1リーグ	j1 league
テイク・ザット	take that
afcチャンピオンズリーグ2007	afc champions league 2007
ブライアン・イーノ	Brian Eno
ガンバ大阪	Gamba Osaka
グリュックスブルク家	House of Glucksburg
デイヴィッド・ヒューム	David Hume
デンマーク	Denmark
ノルウェー	Norway
エドワード・スミス＝スタンリー (第14代ダービー伯爵)	Edward Smith-Stanley, 14th Earl of Derby
ジョン・ラッセル (初代ラッセル伯爵)	John Russell, 1st Earl Russell
リーグ・アン	League Ann
亀田誠治	Seiji Kameda
csxトランスポーテーション	csx transportation
ios (アップル)	ios (apple)
サッカーブラジル代表	soccer brazil national team
ディープ・パープル	deep Purple
オランダ語	Dutch
愛知県	Aichi prefecture
インド語派	Indic language
サンフレッチェ広島f.c	Sanfrecce Hiroshima f.c
ダイアン・ウォーレン	Diane Warren
ジョージ6世 (イギリス王)	George VI (King of England)
インド	India
テネシー州	Tennessee
ウィンストン・チャーチル	winston churchill
ロバート・e・リー	Robert e. Lee
ザ・クラッシュ	The Clash
do as infinity	do as infinity
衆議院	House of Representatives
ゴットフリート・ライプニッツ	Gottfried Leibniz
ミルトン・フリードマン	Milton Freedman
ストラトヴァリウス	Stratovarius
サッカーアルゼンチン代表	Argentina national football team
ヨハン・ヴォルフガング・フォン・ゲーテ	Johann Wolfgang von Goethe
アーサー・バルフォア	Arthur Balfour
ウクライナ	Ukraine
エイブラハム・リンカーン	abraham lincoln
playstation 4	playstation 4
天皇	emperor
2011年のjリーグカップ	2011 j league cup
リンドン・ジョンソン	Lyndon Johnson
メタリカ	metallica
サッカークロアチア代表	Croatia national football team
宮澤喜一	Kiichi Miyazawa
ウェンブリー・スタジアム (1923)	Wembley Stadium (1923)
カエデ	maple
コネチカット州	Connecticut
ノイズ・レコード	noise record
スタンフォード大学	Stanford University
アーサー・ウェルズリー (初代ウェリントン公爵)	Arthur Wellesley, 1st Duke of Wellington
xbox one	xbox one
サッカーコロンビア代表	Colombia national football team
アメリカ連合国	Confederate States of America
linux	linux
イーゴリ・シュピリバンド	Igor Shpiliband
マックス・マーティン	Max Martin
メノウ (競走馬)	Agate (racehorse)
セクレタリアト	Secretariat
北京市	Beijing
デイヴィッド・フォスター	David Foster
ミュンヘン	Munich
テューダーミンストレル	tudor minstrel
インディアナ州	Indiana
マイケル・ジャクソン:アルティメット・コレクション	Michael Jackson: Ultimate Collection
アバンギャルドメタル	avant-garde metal
ドリーム・ポップ	dream pop
every little thing	every little thing
東京ヴェルディ1969	Tokyo Verdy 1969
ストックウェル (競走馬)	Stockwell (racehorse)
ユヴェントスfc	juventus fc
リオデジャネイロ	Rio de Janeiro
デトロイト	Detroit
ロシア人	Russian
モーニング娘。	Morning Musume.
スコットランド	Scotland
ギブソン・sg	gibson sg
ネヴァーベンド	Neverbend
ハンプトン (競走馬)	Hampton (racehorse)
浦和レッドダイヤモンズ	Urawa Red Diamonds
ミズーリ州	Missouri
朝鮮戦争	Korean War
キッス	kiss
セレッソ大阪	Cerezo Osaka
ジョージ・ミード	George Meade
ヴィッセル神戸	Vissel Kobe
千葉県	Chiba Prefecture
ジェームズ・ブキャナン	James Buchanan
サッカーチリ代表	Chilean national football team
ザ・ベリー・ベスト	The Very Best
ルーマニア	Romania
ドイツ社会民主党	german social democracy
サッカーアルバニア代表	Albania national football team
ジェフユナイテッド市原・千葉	JEF United Ichihara/Chiba
菅直人	Naoto Kan
ソユーズfg	soyuz fg
アトランタ	Atlanta
ジミ・ヘンドリックス	Jimi Hendrix
教皇	pope
清水エスパルス	Shimizu S-Pulse
タイ王国	Kingdom of Thailand
アンティータムの戦い	Battle of Antietam
ジュビロ磐田	Jubilo Iwata
アラビア文字	arabic letters
タミル語	Tamil
リボー	Ribot
マンノウォー	Mannowar
サッカー・ブンデスリーガ (ドイツ)	Soccer Bundesliga (Germany)
ユーゴスラビア社会主義連邦共和国	Socialist Federal Republic of Yugoslavia
アジャックス (フランスの競走馬)	Ajax (French racehorse)
ラテン語	Latin
オンタリオ州	Ontario
南米サッカー連盟	South American Football Federation
鈴木亜美	Ami Suzuki
中華民国	republic of china
小泉純一郎	Junichiro Koizumi
ヘイロー (競走馬)	Halo (racehorse)
サドラーズウェルズ	Sadler's Wells
メキシコシティ	Mexico City
ジル・ドゥルーズ	Jill Deleuze
インドネシア	Indonesia
社会民主進歩同盟	Social Democratic Progressive Alliance
サーアイヴァー	Sir Ivar
湘南ベルマーレ	Shonan Bellmare
サッカーチェコ代表	soccer czech national team
ファラモンド	Faramond
ロバート・ピール	Robert Peel
サッカーアイスランド代表	Iceland national football team
大分トリニータ	Oita Trinita
ブルックリン区	brooklyn borough
アビスパ福岡	Avispa Fukuoka
アルトゥル・ショーペンハウアー	Arthur Schopenhauer
サーゲイロード	sergey road
ロベルト (競走馬)	Roberto (racehorse)
サッカーデンマーク代表	Denmark national football team
ken	ken
armアーキテクチャ	arm architecture
サブ・ポップ	sub pop
全米大学体育協会	National Collegiate Athletic Association
ポーランド	Poland
ジョン・f・ケネディ	John F. Kennedy
レアル・マドリード	real madrid
ウィリアム4世 (イギリス王)	William IV (King of England)
perfume	perfume
大阪市	Osaka city
明治天皇	Emperor Meiji
中華人民共和国主席	President of the People's Republic of China
ドンカスター (競走馬)	Doncaster (racehorse)
シリーン	Shireen
オーストリア帝国	Austrian Empire
名古屋市	Nagoya city
ウラジーミル・プーチン	Vladimir Putin
アンブローズ・バーンサイド	ambrose burnside
バントゥー語群	Bantu language group
nba	nba
ニューミンスター	Newminster
ジョージ・ハミルトン＝ゴードン (第4代アバディーン伯)	George Hamilton-Gordon (4th Earl of Aberdeen)
共和国大統領 (フランス)	President of the Republic (France)
サッカーブルガリア代表	Bulgaria national football team
サンフランシスコ	San Francisco
ホワイトスネイク	white snake
ムムタズマハル (競走馬)	Mumtaz Mahal (racehorse)
イディッシュ語	Yiddish
ウォーアドミラル	War Admiral
アメリカ合衆国農務長官	United States Secretary of Agriculture
ヘルダーラント州	Gelderland
ジェラルド・r・フォード	gerald r. ford
ロードアイランド州	Rhode Island
ガンズ・アンド・ローゼズ	guns and roses
マーティン・ヴァン・ビューレン	Martin Van Buren
プロイセン王国	Kingdom of Prussia
スリランカ	Sri Lanka
ウズベク語	Uzbek
ホエールボーン	whalebone
ジョージ4世 (イギリス王)	George IV (King of England)
グランヴィル・ルーソン＝ゴア (第2代グランヴィル伯爵)	Granville Lewson-Gore, 2nd Earl of Granville
オジー・オズボーン	Ozzy Osbourne
ジークムント・フロイト	sigmund freud
ルイジアナ州	Louisiana
ザテトラーク	Zatetrark
ロマーノ・プローディ	Romano Prodi
大宮アルディージャ	Omiya Ardija
カンピオナート・ブラジレイロ・セリエa	Campeonato Brasileiro Serie a
ヌレイエフ	Nureyev
グレートブリテン島	great britain
カザフスタン	Kazakhstan
エレクトロ	Electro
バブルガム・ポップ	bubblegum pop
ベンジャミン・ディズレーリ	Benjamin Disraeli
ロンドン・スクール・オブ・エコノミクス	London School of Economics
フェンダー・プレシジョンベース	fender precision bass
マリナ・ズエワ	Marina Zueva
ポカホンタス (競走馬)	Pocahontas (racehorse)
京都サンガf.c.	Kyoto Sanga f.c.
大正天皇	Emperor Taisho
横浜市	Yokohama City
中国共産党	Chinese Communist Party
ウィリアム・ハリソン	William Harrison
ジェームズ・ポーク	James Polk
ジョージ・カーゾン (初代カーゾン・オヴ・ケドルストン侯爵)	George Curzon, 1st Marquess Curzon of Kedleston
サッカートルコ代表	Turkey national football team
ジョン・ウッドハウス (初代キンバリー伯爵)	John Woodhouse, 1st Earl of Kimberley
レディー・ガガ	lady gaga
リヴァプールfc	liverpool fc
共和国大統領 (イタリア)	President of the Republic (Italy)
フットボールリーグ	football league
ハロウィン (バンド)	halloween (band)
afcカップ2014	afc cup 2014
セリエb (サッカー)	serie b (soccer)
メガデス (バンド)	megadeth (band)
asモナコ	as Monaco
ブラッシンググルーム	brushing groom
falling into you	falling into you
スタッド・ド・フランス	Stade de France
南アフリカ共和国	Republic of South Africa
ザ・フー	The Who
中島美嘉	Nakashima Mika
サッカーエクアドル代表	Ecuador national football team
crフラメンゴ	cr flamengo
superfly	superfly
サッカーハンガリー代表	Hungary national football team
キングトム	King Tom
サガン鳥栖	Sagan Tosu
ジョン・ネグロポンテ	John Negroponte
京 (ミュージシャン)	Kyo (musician)
マライア・キャリー	Mariah Carey
日本人	Japanese people
ノースカロライナ州	north carolina
afcカップ2013	afc cup 2013
中国サッカー・スーパーリーグ	Chinese Football Super League
テヘラン	Tehran
ヘンリー・ペティ＝フィッツモーリス (第5代ランズダウン侯爵)	Henry Petty-Fitzmaurice, 5th Marquess of Lansdowne
サッカーシンガポール代表	Singapore national football team
マンチェスター	manchester
u-20サッカー大韓民国代表	u-20 Republic of Korea Football National Team
xファクター (テレビ番組)	x factor (television show)
モントリオール	montreal
android	android
サザン・ヒップホップ	Southern hip hop
ミシェル・フーコー	Michel Foucault
ミスワキ	Miswaki
メルセデス・ベンツ・スーパードーム	Mercedes-Benz Superdome
橋本龍太郎	Ryutaro Hashimoto
リック・ルービン	Rick Rubin
フレデリックスバーグの戦い	Battle of Fredericksburg
北海道	Hokkaido
サッカードイツ代表	german soccer team
九州	Kyushu
サッカージャマイカ代表	Jamaica national football team
マンチェスター・シティfc	manchester city fc
ミュート・レコード	mute record
berryz工房	berryz workshop
フランクリン・ルーズベルト	franklin roosevelt
ウイングス	Wings
ウィリアム・タフト	William Taft
セグンダ・ディビシオン	Segunda Division
サムシングロイヤル	Something Royal
グリーン・デイ	green day
テレビ東京	tv tokyo
シンハラ語	Sinhala
java	java
ジャック・シラク	Jacques Chirac
ローズボウル (競技場)	Rose Bowl
ダラス・マーベリックス	Dallas Mavericks
ハリー・s・トルーマン	Harry S. Truman
エールディヴィジ	Eredivisie
イン・フレイムス	in flames
フランソワ・オランド	Francois Hollande
イスラエル	Israel
ガイナーレ鳥取	Gainare Tottori
名古屋グランパスエイト	Nagoya Grampus Eight
ジャック・デリダ	Jack Derrida
シアトル	Seattle
ストーナーロック	stoner rock
アーセナルfc	arsenal fc
ジョン・クリッテンデン	John Crittenden
エルグランセニョール	El Grand Senor
エルンスト・ハッペル・シュターディオン	Ernst Happel Stadion
ワーナー・ブラザース	warner bros
ドイツキリスト教民主同盟	German Christian Democratic Union
マイルス・デイヴィス	Miles Davis
朝鮮語	Korean
バッド (アルバム)	bad (album)
オーストロネシア語族	Austronesian
椎名林檎	Shiina Ringo
playstation 2	playstation 2
ニコライ・モロゾフ	Nikolai Morozov
ディスカヴァリー (競走馬)	Discovery (racehorse)
カンパニア州	Campania
カナダの総督	Governor General of Canada
ゲティスバーグの戦い	Battle of Gettysburg
第一大蔵卿	First Minister of Finance
チャールズ・グレイ (第2代グレイ伯爵)	Charles Gray, 2nd Earl Gray
欧州人民党グループ	European People's Party Group
シアトルスルー	Seattle thru
タッチストン	touchstone
ニコラ・サルコジ	Nicolas Sarkozy
ワディ・エル・ホル文字と原シナイ文字	Wadi El-Hor script and Proto-Sinai script
フィリピン	Philippines
ジョン・b・ゴードン	john b. gordon
ロシアサッカー・プレミアリーグ	Russian Football Premier League
セルビア語	Serbian
フィル・スペクター	Phil Spector
℃-ute	℃-ute
アミントレ・ファンファーニ	Amintre Fanfani
イースト・オブ・イングランド	east of england
サウンドガーデン	sound garden
バレンシアcf	valencia cf
バルト・スラヴ語派	Balto-Slavic
サッカー中華人民共和国代表	People's Republic of China national football team
カーバイン	Carbine
playstation vita	playstation vita
ジョン・カルフーン	John Calhoun
連邦大統領 (ドイツ)	Federal President (Germany)
アダム・スミス	Adam Smith
デーヴィッド・キャメロン	David Cameron
ジュリオ・アンドレオッティ	Giulio Andreotti
ガバヌーア・ウォーレン	Governor Warren
ソユーズu	soyuz u
埼玉県	Saitama
ドリーム・シアター	dream theater
ベトナム	Vietnam
ブサンダ	Busanda
オーエンテューダー	owent tudor
ボールドリーズン	bold reason
slベンフィカ	sl benfica
メリーランド州	Maryland
サッカールーマニア代表	Romania national football team
acミラン	ac milan
ポトマック軍	Army of the Potomac
エストニア	Estonia
フェアプレイ (競走馬)	fair play (racehorse)
uefaチャンピオンズリーグ 2010-11	uefa champions league 2010-11
シンフォニックブラックメタル	symphonic black metal
蔚山現代fc	ulsan hyundai fc
野田佳彦	Yoshihiko Noda
ヘンリー・キャンベル＝バナマン	Henry Campbell-Bannerman
グレーター・ロンドン	Greater London
ウクライナ・ソビエト社会主義共和国	Ukrainian Soviet Socialist Republic
インテルナツィオナーレ・ミラノ	Internazionale Milano
スティーヴィー・ワンダー	Stevie Wonder
アラブ首長国連邦	United Arab Emirates
フジテレビジョン	Fuji Television
パール・ジャム	pearl jam
アドルフ・ヒトラー	Adolf Hitler
スペンサー・キャヴェンディッシュ (第8代デヴォンシャー公爵)	Spencer Cavendish, 8th Duke of Devonshire
フランス第三共和政	French Third Republic
国民運動連合	National Movement Federation
イスタンブル	Istanbul
アトレティコ・マドリード	Atlético Madrid
j3リーグ	j3 league
イエロー・マジック・オーケストラ	yellow magic orchestra
マンチェスター・ユナイテッドfc	manchester united fc
dvd	dvds
ダラス	Dallas
ヒズマジェスティ	His Majesty
ロバート・プラント	robert plant
uefa euro 2016予選・グループi	uefa euro 2016 qualifying group i
コペンハーゲン	copenhagen
ウディネーゼ・カルチョ	Udinese Calcio
ナチス・ドイツ	nazi germany
ヘンリー・ペティ＝フィッツモーリス (第3代ランズダウン侯爵)	Henry Petty-Fitzmaurice, 3rd Marquess of Lansdowne
ジョン・スチュアート・ミル	John Stuart Mill
ボナヴィスタ	Bonavista
パーシモン	Persimmon
マイケル・ジャクソン this is it (アルバム)	michael jackson this is it (album)
茨城県	Ibaraki Prefecture
京都市	Kyoto City
鹿島アントラーズ	Kashima Antlers
トニー・ブレア	Tony Blair
ウィリアム・ラム (第2代メルバーン子爵)	William Lamb, 2nd Viscount Melbourne
スュペル・リグ	Super Rig
ハーバート・ヘンリー・アスキス	herbert henry asquith
少女時代 (音楽グループ)	Girls' Generation (music group)
エトムント・フッサール	Edmund Husserl
エドワード・スタンリー (第15代ダービー伯爵)	Edward Stanley, 15th Earl of Derby
サウス・イースト・イングランド	south east england
松本孝弘	Takahiro Matsumoto
ロバート・ジェンキンソン (第2代リヴァプール伯爵)	Robert Jenkinson, 2nd Earl of Liverpool
第二次ブルランの戦い	Second Battle of Bull Run
ラーマ9世	Rama IX
ピート・タウンゼント	pete townshend
七日間の戦い	seven days war
アブダビ	abu dhabi
オリンピック・マルセイユ	Olympique Marseille
フレーミングページ	framing page
アイシングラス (競走馬)	Isinglass (racehorse)
ワシントン州	State of Washington
ジェノアcfc	genoa cfc
フランクリン・ピアース	franklin pierce
レオ・シュトラウス	Leo Strauss
ドワイト・d・アイゼンハワー	dwight d. eisenhower
第一次ブルランの戦い	First Battle of Bull Run
ポルトガル王国	Kingdom of Portugal
ジョージ・ロビンソン (初代リポン侯爵)	George Robinson, 1st Marquess of Ripon
グッドイヤー	goodyear
ジミー・カーター	Jimmy Carter
afcチャンピオンズリーグ2008	afc champions league 2008
アルタイ諸語	altaic languages
バードキャッチャー	bird catcher
ブリトニー・スピアーズ	britney spears
パリ大学	University of Paris
